Culture,CD105,CCND2,p16,p21,p38,SABG
P10_FBS,23.992,46.565,8.046,8.431,16.899,56.504
P10_FBS,24.136,45.886,8.52,7.454,17.321,56.105
P10_FBS,23.862,44.793,9.061,8.262,16.962,54.909
P10_FBS,25.095,46.257,8.348,8.391,17.482,59.562
P10_FBS,23.202,47.714,8.771,7.505,17.401,53.362
P10_FBS,22.982,44.789,9.399,7.457,17.431,52.569
P10_FBS,25.096,45.747,9.372,8.422,17.834,60.153
P10_FBS,25.359,46.538,9.077,8.448,18.044,60.752
P10_FBS,25.212,47.78,8.146,7.717,17.494,59.64
P10_FBS,25.015,47.981,8.583,8.287,18.002,58.819
P10_FBS,24.786,48.162,8.617,7.72,17.512,58.414
P10_FBS,25.008,47.667,8.838,8.643,18.329,58.038
P10_FBS,24.007,48.269,8.345,7.372,17.762,56.855
P10_FBS,24.209,49.4,8.011,7.853,17.887,56.516
P10_FBS,23.995,49.195,9.333,7.694,18.318,55.489
P10_FBS,25.377,51.83,9.661,8.599,18.253,56.767
P10_FBS,25.19,51.163,8.78,7.821,17.879,56.979
P10_FBS,24.508,51.509,8.798,7.73,17.387,54.987
P10_FBS,25.812,51.314,8.519,8.326,18.149,58.911
P10_FBS,25.792,50.56,9.309,8.466,18.411,58.032
P10_FBS,24.756,51.615,8.756,7.704,17.776,55.958
P10_FBS,24.724,52.185,9.686,7.797,18.291,54.993
P10_FBS,25.016,47.384,7.882,8.868,17.241,57.997
P10_FBS,25.098,51.316,8.508,7.524,17.844,56.489
P10_FBS,24.906,46.632,8.51,7.569,17.615,58.28
P10_FBS,24.972,48.291,9.067,8.739,18.369,58.607
P10_FBS,24.878,46.97,8.163,8.173,17.635,56.66
P10_FBS,24.27,46.885,7.835,8.146,17.591,56.383
P10_FBS,24.082,46.366,8.051,8.04,17.788,55.728
P10_FBS,24.329,45.7,9.467,7.99,17.869,56.898
